iteration,test_r2,best_val_loss,epochs,failed,real_test_r2
1,-0.1202109567189591,0.618412435054779,72,0,0.6979362178753028
2,-0.12959977428589586,0.6086505651473999,74,0,0.6979362178753028
3,-0.13255311464905417,0.624630331993103,54,0,0.6979362178753028
4,-0.20973463200300224,0.6026343107223511,76,0,0.6979362178753028
5,-0.11525082936475894,0.6177207231521606,63,0,0.6979362178753028
6,-0.11660176185333349,0.6135376691818237,64,0,0.6979362178753028
7,-0.13675549775538465,0.6023114323616028,95,0,0.6979362178753028
8,-0.08585810809920269,0.6117443442344666,72,0,0.6979362178753028
9,-0.10596048764854138,0.6034935712814331,77,0,0.6979362178753028
10,-0.14585588358993018,0.6194356083869934,92,0,0.6979362178753028
11,-0.07768947795826153,0.6233136057853699,60,0,0.6979362178753028
12,-0.11226960638567385,0.6274388432502747,88,0,0.6979362178753028
13,-0.1429969010200367,0.6087045669555664,69,0,0.6979362178753028
14,-0.14105532201719928,0.6093303561210632,84,0,0.6979362178753028
15,-0.08851228896205598,0.6194244027137756,72,0,0.6979362178753028
16,-0.08609443904862091,0.6240218281745911,68,0,0.6979362178753028
17,-0.110276842193608,0.6259351372718811,49,0,0.6979362178753028
18,-0.11585325315296835,0.6116232872009277,81,0,0.6979362178753028
19,-0.14416940983381688,0.6126738786697388,63,0,0.6979362178753028
20,-0.15007546467394395,0.609804093837738,64,0,0.6979362178753028
21,-0.16008329560082935,0.6147165894508362,79,0,0.6979362178753028
22,-0.12953036584148037,0.612250804901123,94,0,0.6979362178753028
23,-0.10147701335052384,0.6132097840309143,68,0,0.6979362178753028
24,-0.10807725404195656,0.6169100403785706,70,0,0.6979362178753028
25,-0.11855737183589476,0.6214052438735962,65,0,0.6979362178753028
26,-0.15917156307965952,0.6091113686561584,72,0,0.6979362178753028
27,-0.08277511636334589,0.6245387196540833,55,0,0.6979362178753028
28,-0.1478418387083129,0.61444091796875,72,0,0.6979362178753028
29,-0.09159743623508998,0.6113153696060181,90,0,0.6979362178753028
30,-0.1578920871510865,0.6179965734481812,69,0,0.6979362178753028
31,-0.10088635629726839,0.6251817345619202,61,0,0.6979362178753028
32,-0.11729213140125494,0.6166115403175354,64,0,0.6979362178753028
33,-0.16018772550326443,0.6124159693717957,91,0,0.6979362178753028
34,-0.1571139790009528,0.6185535192489624,49,0,0.6979362178753028
35,-0.12396866813713436,0.6216914653778076,68,0,0.6979362178753028
36,-0.11309599187610053,0.608427882194519,78,0,0.6979362178753028
37,-0.11941391052510775,0.6134796738624573,86,0,0.6979362178753028
38,-0.11735748307428762,0.6154406666755676,76,0,0.6979362178753028
39,-0.10260033739465091,0.6227946281433105,58,0,0.6979362178753028
40,-0.11400146722520921,0.620804488658905,58,0,0.6979362178753028
41,-0.13309771445668228,0.6239301562309265,48,0,0.6979362178753028
42,-0.11468441796949791,0.6130979657173157,75,0,0.6979362178753028
43,-0.17108450910650785,0.6252826452255249,57,0,0.6979362178753028
44,-0.09665735339524661,0.6248452067375183,52,0,0.6979362178753028
45,-0.10099045052123645,0.620949923992157,65,0,0.6979362178753028
46,-0.06943567185345256,0.6173917651176453,73,0,0.6979362178753028
47,-0.10722496646174262,0.6189445853233337,50,0,0.6979362178753028
48,-0.12806734489093063,0.6328679323196411,88,0,0.6979362178753028
49,-0.07225075732333508,0.6204883456230164,71,0,0.6979362178753028
50,-0.1056183618959976,0.6215214729309082,59,0,0.6979362178753028
51,-0.11078198871654843,0.6127637028694153,70,0,0.6979362178753028
52,-0.1743368203215625,0.6089997887611389,77,0,0.6979362178753028
53,-0.08589610678036896,0.6185317039489746,73,0,0.6979362178753028
54,-0.11494552599680641,0.6146243810653687,57,0,0.6979362178753028
55,-0.1556117959408494,0.6349421739578247,51,0,0.6979362178753028
56,-0.09747556337866459,0.6216234564781189,55,0,0.6979362178753028
57,-0.11935643412347319,0.623208224773407,63,0,0.6979362178753028
58,-0.1153813060779918,0.6117907166481018,95,0,0.6979362178753028
59,-0.15036157797444916,0.6225403547286987,50,0,0.6979362178753028
60,-0.0859188501167838,0.6211393475532532,52,0,0.6979362178753028
61,-0.1350113305182672,0.6309675574302673,74,0,0.6979362178753028
62,-0.11830142013952405,0.6126108169555664,91,0,0.6979362178753028
63,-0.11746806313969071,0.6305830478668213,50,0,0.6979362178753028
64,-0.11333260960796632,0.6134091019630432,66,0,0.6979362178753028
65,-0.07072551123546433,0.6179120540618896,74,0,0.6979362178753028
66,-0.12871498996371522,0.6183279752731323,48,0,0.6979362178753028
67,-0.09997996381107765,0.6251228451728821,57,0,0.6979362178753028
68,-0.11736435250774013,0.6123040318489075,71,0,0.6979362178753028
69,-0.14478978450151225,0.6098113059997559,77,0,0.6979362178753028
70,-0.14178036947822248,0.6202975511550903,78,0,0.6979362178753028
71,-0.12549770127660476,0.6162827014923096,74,0,0.6979362178753028
72,-0.13916144361542626,0.618800699710846,54,0,0.6979362178753028
73,-0.10203990518115691,0.617715060710907,75,0,0.6979362178753028
74,-0.16073178792105436,0.6144828796386719,69,0,0.6979362178753028
75,-0.16280752921742092,0.6096919178962708,73,0,0.6979362178753028
76,-0.16883210816846117,0.6047334671020508,66,0,0.6979362178753028
77,-0.09159387532979157,0.6103702783584595,63,0,0.6979362178753028
78,-0.09147083751047469,0.6141095757484436,86,0,0.6979362178753028
79,-0.11427651150873142,0.6215183734893799,69,0,0.6979362178753028
80,-0.06628787122942481,0.6196914315223694,66,0,0.6979362178753028
81,-0.09367700847867821,0.6086551547050476,77,0,0.6979362178753028
82,-0.1328800096130207,0.6193172931671143,85,0,0.6979362178753028
83,-0.12809667682959858,0.6115716099739075,73,0,0.6979362178753028
84,-0.09755594803946921,0.613219678401947,76,0,0.6979362178753028
85,-0.09193459864368436,0.6238200664520264,66,0,0.6979362178753028
86,-0.06576905424918422,0.617978036403656,63,0,0.6979362178753028
87,-0.09561615150814928,0.6067193746566772,82,0,0.6979362178753028
88,-0.08468036351412378,0.614120364189148,75,0,0.6979362178753028
89,-0.10026107823427699,0.6204352974891663,85,0,0.6979362178753028
90,-0.13268077820117075,0.611251950263977,76,0,0.6979362178753028
91,-0.10588956758945556,0.6140627264976501,88,0,0.6979362178753028
92,-0.07475820790494847,0.6119301319122314,73,0,0.6979362178753028
93,-0.1689710074691133,0.6157526969909668,61,0,0.6979362178753028
94,-0.046784733386576516,0.6057424545288086,77,0,0.6979362178753028
95,-0.12665937807673133,0.6234498620033264,74,0,0.6979362178753028
96,-0.0995043891569769,0.6113307476043701,69,0,0.6979362178753028
97,-0.09405310737125894,0.6148491501808167,70,0,0.6979362178753028
98,-0.16788974841144766,0.6216928958892822,79,0,0.6979362178753028
99,-0.1135292544499833,0.609273374080658,93,0,0.6979362178753028
100,-0.11242906148511489,0.6231266260147095,53,0,0.6979362178753028
